comuna,estimacion
Santiago,246137
Antofagasta,77102
Estación Central,75803
Independencia,65547
Iquique,52799
Recoleta,42710
Las Condes,42175
Calama,38314
Quinta Normal,37448
Arica,35662
San Miguel,35155
La Florida,35014
Quilicura,32168
Maipú,29601
Otras comunas,364708
