ano,pais_display,estimacion,share
2023,Venezuela,728586,0.3797521399908162
2023,Perú,260785,0.135925836932778
2023,Colombia,209946,0.10942763487427962
2023,Haití,188131,0.09805726413712619
2023,Bolivia,180266,0.09395788454291526
2023,Argentina,83265,0.04339921702631577
2023,Ecuador,50460,0.0263006604353317
2023,Otros países,46557,0.024266346569317043
2023,República Dominicana,22836,0.011902534318296368
2023,Cuba,21305,0.01110454955558347
