year,grupo,pct
2011,Chilenos,83.43580235554275
2011,Migrantes,83.59104238869635
2013,Chilenos,85.64286675990425
2013,Migrantes,89.26119255986717
2015,Chilenos,86.18363665173075
2015,Migrantes,84.58349683560225
2022,Chilenos,88.42152803525666
2022,Migrantes,79.7289578191997
2024,Chilenos,88.62707094118616
2024,Migrantes,78.73838078180351
