grupo,indicador,valor
Chilenos,"Educaci<c3><b3>n superior, 25-50 a<c3><b1>os",0.5462045521796676
Migrantes,"Educaci<c3><b3>n superior, 25-50 a<c3><b1>os",0.47553680418264915
NA,"Educaci<c3><b3>n superior, 25-50 a<c3><b1>os",0.703815678914428
Chilenos,"Participaci<c3><b3>n laboral, 18-64 a<c3><b1>os",0.7463618195136985
Migrantes,"Participaci<c3><b3>n laboral, 18-64 a<c3><b1>os",0.8567989073104304
NA,"Participaci<c3><b3>n laboral, 18-64 a<c3><b1>os",0.8076935444109797
Chilenos,"Contrato laboral entre ocupados, 18-64 a<c3><b1>os",0.8921869895374349
Migrantes,"Contrato laboral entre ocupados, 18-64 a<c3><b1>os",0.7883552520981236
NA,"Contrato laboral entre ocupados, 18-64 a<c3><b1>os",0.9110180780209325
