year,grupo,pct
2009,Chilenos,49.65081500511351
2009,Migrantes,63.35202669877279
2011,Chilenos,52.81895952628466
2011,Migrantes,72.72829890506829
2013,Chilenos,53.94109478707535
2013,Migrantes,74.65780009822404
2015,Chilenos,54.93976720900019
2015,Migrantes,74.78489046195155
2020,Chilenos,57.042967519260976
2020,Migrantes,79.86156032926037
2022,Chilenos,60.33376937527812
2022,Migrantes,81.72372143814425
2024,Chilenos,61.4323067106137
2024,Migrantes,80.41753341670224
