year,grupo,ingreso_total
2009,Chilenos,765900.8263312354
2009,Migrantes,1342738.9411918095
2011,Chilenos,746487.0776765221
2011,Migrantes,964488.9864781449
2013,Chilenos,674962.95572086
2013,Migrantes,916247.7280655319
2015,Chilenos,689411.4526676938
2015,Migrantes,878020.6568579939
2022,Chilenos,823044.7453391613
2022,Migrantes,722449.1212227165
2024,Chilenos,910766.5088384643
2024,Migrantes,812873.5993307454
