year,grupo,pct
2011,Chilenos,7.768757406036611
2011,Migrantes,3.606239329504889
2013,Chilenos,7.134964175004605
2013,Migrantes,3.639276600936875
2015,Chilenos,7.549857822970393
2015,Migrantes,5.361077111383109
2020,Chilenos,12.442259827771297
2020,Migrantes,10.055783647093898
2022,Chilenos,8.813781051043462
2022,Migrantes,7.267004037713494
2024,Chilenos,9.049767525870129
2024,Migrantes,6.351135759325381
