grupo_edad,mujer,pop,pct,pct_plot,sexo
0,0,14204,0.9284509693697462,-0.9284509693697462,Hombres
0,1,12120,0.7922293543200032,0.7922293543200032,Mujeres
5,0,36577,2.390872367406168,-2.390872367406168,Hombres
5,1,36857,2.4091746957237916,2.4091746957237916,Mujeres
10,0,52203,3.4122730184461325,-3.4122730184461325,Hombres
10,1,52065,3.403252585203875,3.403252585203875,Mujeres
15,0,47387,3.0974729713830023,-3.0974729713830023,Hombres
15,1,41609,2.719791353457179,2.719791353457179,Mujeres
20,0,49270,3.220556129319023,-3.220556129319023,Hombres
20,1,52036,3.4013569869138354,3.4013569869138354,Mujeres
25,0,87727,5.734315558286379,-5.734315558286379,Hombres
25,1,90208,5.896487260272182,5.896487260272182,Mujeres
30,0,120765,7.893859568849437,-7.893859568849437,Hombres
30,1,117494,7.680049154824625,7.680049154824625,Mujeres
35,0,121239,7.924842796072843,-7.924842796072843,Hombres
35,1,104770,6.8483390637051755,6.8483390637051755,Mujeres
40,0,79201,5.177009661014734,-5.177009661014734,Hombres
40,1,87535,5.7217653902971515,5.7217653902971515,Mujeres
45,0,55725,3.6424901624985293,-3.6424901624985293,Hombres
45,1,60132,3.930555737126273,3.930555737126273,Mujeres
50,0,35988,2.3523721124808805,-2.3523721124808805,Hombres
50,1,40972,2.6781535565345846,2.6781535565345846,Mujeres
55,0,23699,1.5490959957120258,-1.5490959957120258,Hombres
55,1,30808,2.0137790386048398,2.0137790386048398,Mujeres
60,0,11991,0.7837972102022407,-0.7837972102022407,Hombres
60,1,18769,1.226844286405292,1.226844286405292,Mujeres
65,0,7801,0.5099159400206554,-0.5099159400206554,Hombres
65,1,13459,0.8797537029532114,0.8797537029532114,Mujeres
70,0,5186,0.33898526662570433,-0.33898526662570433,Hombres
70,1,10731,0.7014367327729335,0.7014367327729335,Mujeres
75,0,2257,0.14752983933170355,-0.14752983933170355,Hombres
75,1,3800,0.24838874145346634,0.24838874145346634,Mujeres
80,0,837,0.054710888578039824,-0.054710888578039824,Hombres
80,1,1225,0.08007268638960428,0.08007268638960428,Mujeres
85,0,1472,0.09621795458407958,-0.09621795458407958,Hombres
85,1,908,0.059351836115723006,0.059351836115723006,Mujeres
90,0,464,0.030329572640633785,-0.030329572640633785,Hombres
90,1,369,0.024119854104297126,0.024119854104297126,Mujeres
