year,grupo,esc_mean
2009,Chilenos,11.320667817380503
2009,Migrantes,12.660770052183024
2011,Chilenos,11.589677658243158
2011,Migrantes,12.92958280190022
2013,Chilenos,11.910324039186134
2013,Migrantes,13.054031937956093
2015,Chilenos,12.231166849868742
2015,Migrantes,12.931816306888491
2020,Chilenos,13.182540688738241
2020,Migrantes,14.436881912508076
2022,Chilenos,13.447058390453893
2022,Migrantes,13.51603830024079
2024,Chilenos,13.729618655093223
2024,Migrantes,13.435311489616304
