year,grupo,salario
2009,Chilenos,4494.867472691855
2009,Migrantes,6693.374931761675
2011,Chilenos,4678.865714358428
2011,Migrantes,5396.640697852753
2013,Chilenos,4210.460394978254
2013,Migrantes,5081.011107990055
2015,Chilenos,4064.7332953946047
2015,Migrantes,4623.814128687161
2022,Chilenos,4844.308781195949
2022,Migrantes,3904.862097624386
2024,Chilenos,5251.9432792337775
2024,Migrantes,4345.836569457781
