grupo_edad,mujer,pop,pct,pct_plot,sexo
0,0,576536,3.1471925656435262,-3.1471925656435262,Hombres
0,1,559710,3.05534285962427,3.05534285962427,Mujeres
5,0,570043,3.111748601470043,-3.111748601470043,Hombres
5,1,546291,2.9820912724929016,2.9820912724929016,Mujeres
10,0,595062,3.248322225319786,-3.248322225319786,Hombres
10,1,574089,3.1338348911737106,3.1338348911737106,Mujeres
15,0,581710,3.175436377538429,-3.175436377538429,Hombres
15,1,569447,3.108495158893823,3.108495158893823,Mujeres
20,0,596313,3.255151179452086,-3.255151179452086,Hombres
20,1,574382,3.1354343184804763,3.1354343184804763,Mujeres
25,0,659455,3.5998304934582603,-3.5998304934582603,Hombres
25,1,635542,3.4692942982818384,3.4692942982818384,Mujeres
30,0,720645,3.9338542371476874,-3.9338542371476874,Hombres
30,1,700250,3.822522087244993,3.822522087244993,Mujeres
35,0,666952,3.6407550890856446,-3.6407550890856446,Hombres
35,1,662963,3.6189799507693,3.6189799507693,Mujeres
40,0,629264,3.4350239753061524,-3.4350239753061524,Hombres
40,1,608748,3.3230313110549305,3.3230313110549305,Mujeres
45,0,601479,3.2833513209768386,-3.2833513209768386,Hombres
45,1,599666,3.273454523341458,3.273454523341458,Mujeres
50,0,574022,3.1334691518236992,-3.1334691518236992,Hombres
50,1,586987,3.2042424454490206,3.2042424454490206,Mujeres
55,0,556653,3.038655319430471,-3.038655319430471,Hombres
55,1,578713,3.159076365120759,3.159076365120759,Mujeres
60,0,507838,2.772184179567758,-2.772184179567758,Hombres
60,1,546935,2.9856067372900252,2.9856067372900252,Mujeres
65,0,423959,2.314305807334952,-2.314305807334952,Hombres
65,1,475108,2.5935177776891027,2.5935177776891027,Mujeres
70,0,324808,1.7730606984846435,-1.7730606984846435,Hombres
70,1,386481,2.109721040771913,2.109721040771913,Mujeres
75,0,214102,1.1687391987480578,-1.1687391987480578,Hombres
75,1,276571,1.5097447428653124,1.5097447428653124,Mujeres
80,0,136950,0.7475821490156398,-0.7475821490156398,Hombres
80,1,208021,1.1355442586373306,1.1355442586373306,Mujeres
85,0,65555,0.3578513894028497,-0.3578513894028497,Hombres
85,1,119064,0.6499461189514285,0.6499461189514285,Mujeres
90,0,31812,0.17365522690387392,-0.17365522690387392,Hombres
90,1,76931,0.4199506557570076,0.4199506557570076,Mujeres
