year,grupo,horas
2009,Chilenos,42.15448180644405
2009,Migrantes,43.86422785875643
2011,Chilenos,41.11861730199387
2011,Migrantes,42.69738796832912
2013,Chilenos,41.052741288467836
2013,Migrantes,41.667696779270614
2015,Chilenos,41.80439499757475
2015,Migrantes,43.794022073245706
2022,Chilenos,38.82402816158357
2022,Migrantes,42.52719244936685
2024,Chilenos,39.20645545295805
2024,Migrantes,41.522469682551304
