qaut,pct_migrante,quintil
1,4.957576242502999,Quintil 1
2,8.280174555008122,Quintil 2
3,8.800337699825956,Quintil 3
4,9.343906795978233,Quintil 4
5,6.920766208947482,Quintil 5
