year,migrant_status,d,division,share,households,share_pct
2022,Jefatura chilena,01,Alimentación y bebidas no alcohólicas,0.1969184348697737,13860,19.69184348697737
2022,Jefatura migrante,01,Alimentación y bebidas no alcohólicas,0.20716260566834688,1256,20.716260566834688
