migrant_status,tenure_group,weighted_hh,share
Jefatura chilena,Arrendada,1191712.2667480975,29.799384136380187
Jefatura chilena,Cedida,340191.9650888172,8.50667676305337
Jefatura chilena,Ocupación irregular / otras,38986.07716773249,0.9748671066901025
Jefatura chilena,Propia pagada,1640046.668809567,41.010218698854395
Jefatura chilena,Propia pagándose,788180.1223717965,19.708853295021942
Jefatura migrante,Arrendada,328917.74699516763,79.8308404149946
Jefatura migrante,Cedida,9065.322361284874,2.2002227284648375
Jefatura migrante,Ocupación irregular / otras,11982.074263988658,2.9081406131094094
Jefatura migrante,Propia pagada,31080.28588490921,7.543421919909505
Jefatura migrante,Propia pagándose,30972.964996465635,7.517374323521644
