year,migrant_status,d,division,share,households,share_pct
2022,Jefatura chilena,04,"Vivienda, agua, electricidad, gas y otros combustibles",0.3556936052860951,13860,35.569360528609515
2022,Jefatura migrante,04,"Vivienda, agua, electricidad, gas y otros combustibles",0.356118835604004,1256,35.6118835604004
