agno,total_students,migrant_students,migrant_share
2016,3550837,61085,0.017202986225501198
2017,3558142,77607,0.021811102536098897
2018,3582351,114325,0.031913399887392384
2019,3623883,161378,0.044531790899430254
2020,3608158,178806,0.04955603385439329
2021,3626427,192335,0.053037052724348235
2022,3644536,240586,0.06601279284935037
2023,3631023,267337,0.07362580738265773
2024,3582928,275927,0.07701159498600027
2025,3541783,294330,0.08310221151324065
