concentration_bin,n_schools,share_schools
0%,2761,0.2522613065326633
>0% a 5%,4277,0.39077204202832344
5% a 10%,1584,0.14472361809045226
10% a 20%,1233,0.11265417999086341
20% a 40%,783,0.07153951576062129
40% o mas,307,0.028049337597076292
