migrant_status,response,weighted_n,share
Chilenos,Formal,6135142.363455201,74.02283906457691
Chilenos,Informal,2153032.5309215905,25.977160935423075
Migrantes,Formal,796965.933535056,72.23408512869804
Migrantes,Informal,306344.13416375604,27.765914871301945
