migrant_status,response,weighted_n,share
Chilenos,Si,5319623.713674611,87.97717620512441
Chilenos,No,726971.4865072728,12.022823794875588
Migrantes,Si,699261.0242689166,84.27147256070315
Migrantes,No,130510.90568664328,15.72852743929685
