migrant_status,response,weighted_n,share
Chilenos,Si,5290598.834669694,87.73302372328935
Chilenos,No,739740.2670080106,12.266976276710658
Migrantes,Si,685730.3262159884,83.00748546252036
Migrantes,No,140376.28621188735,16.992514537479636
