migrant_status,response,weighted_n,share
Chilenos,Si,5424916.843539715,89.70198627501827
Chilenos,No,622794.1033588349,10.298013724981724
Migrantes,Si,700718.3929483735,84.43805912309821
Migrantes,No,129142.45442950098,15.561940876901785
