migrant_status,response,weighted_n,share
Chilenos,Si,4628532.563997,77.58722977940829
Chilenos,No,1337052.9803723337,22.412770220591703
Migrantes,Si,660071.8462550536,80.62032167071378
Migrantes,No,158669.42465063176,19.37967832928623
