migrant_status,response,weighted_n,share
Chilenos,Si,5076424.654743042,84.26723768609241
Chilenos,No,947772.642020683,15.732762313907589
Migrantes,Si,669610.8865415022,81.10070954466116
Migrantes,No,156042.66236210597,18.899290455338832
