migrant_status,response,weighted_n,share
Chilenos,Si,2107003.008191929,82.30475453736243
Chilenos,No,452998.5616267988,17.695245462637562
Migrantes,Si,272154.51230228896,74.67534882639697
Migrantes,No,92295.76021667266,25.32465117360303
