migrant_status,response,weighted_n,share
Chilenos,Si,1064053.5370255443,44.276568870539975
Chilenos,No,1339144.2810726124,55.723431129460025
Migrantes,Si,105192.53161026232,31.004491708910095
Migrantes,No,234089.05570900993,68.9955082910899
