year,migrant_status,age_group,pop,share,year_label
2012,Chilenos,65 y mas,1704320.5010252371,12.59566069512704,2012
2012,Chilenos,45 a 64,3926530.1984840333,29.018745042099546,2012
2012,Chilenos,30 a 44,3712414.0603861935,27.436334795195275,2012
2012,Chilenos,15 a 29,4187748.358650973,30.949259467578134,2012
2012,Migrantes,65 y mas,8395.498975251932,4.654523954669678,2012
2012,Migrantes,45 a 64,37978.80151758285,21.055715920438175,2012
2012,Migrantes,30 a 44,74694.93961621216,41.41140231939958,2012
2012,Migrantes,15 a 29,59303.64135027178,32.87835780549257,2012
2025,Chilenos,65 y mas,2817980.197901223,18.71605480766741,2025
2025,Chilenos,45 a 64,4591104.22154446,30.492534440851067,2025
2025,Chilenos,30 a 44,4009956.441761416,26.632750860443185,2025
2025,Chilenos,15 a 29,3637445.277884459,24.158659891038337,2025
2025,Migrantes,65 y mas,58255.802101146,3.934395519140827,2025
2025,Migrantes,45 a 64,328469.7784617227,22.183713517654226,2025
2025,Migrantes,30 a 44,718574.5582442062,48.53004198991175,2025
2025,Migrantes,15 a 29,375379.7221202678,25.351848973293208,2025
