sector,occupied,sector_label,share,sector_plot
1,848784.4372573531,Sector primario,81.41340283314463,Sector primario
2,144773.36156225525,Sector secundario,13.886319643726804,Sector secundario
3,49003.263266105234,Sector terciario,4.700277523128564,Sector terciario
