indicator,Chilenos,Migrantes,gap
Guarderia o sala cuna,44.276568870539975,31.004491708910095,-13.27207716162988
Permiso de maternidad,82.30475453736243,74.67534882639697,-7.629405710965457
Cotizacion de salud,89.70198627501827,84.43805912309821,-5.263927151920058
Dias pagados por enfermedad,87.73302372328934,83.00748546252036,-4.725538260768971
Cotizacion previsional,87.97717620512442,84.27147256070315,-3.705703644421277
Vacaciones,84.26723768609241,81.10070954466116,-3.1665281414312574
Ocupacion formal,74.02283906457691,72.23408512869806,-1.7887539358788587
Seguro de desempleo,77.58722977940829,80.62032167071376,3.0330918913054745
