sex,age5,n,year
Hombres,0,14340,2024
Hombres,5,43482,2024
Hombres,10,51245,2024
Hombres,15,49987,2024
Hombres,20,64320,2024
Hombres,25,92374,2024
Hombres,30,118975,2024
Hombres,35,108105,2024
Hombres,40,79454,2024
Hombres,45,54996,2024
Hombres,50,36440,2024
Hombres,55,24152,2024
Hombres,60,16082,2024
Hombres,65,9770,2024
Hombres,70,5892,2024
Hombres,75,3245,2024
Hombres,80,1891,2024
Hombres,85,1638,2024
Mujeres,0,13875,2024
Mujeres,5,42571,2024
Mujeres,10,49841,2024
Mujeres,15,48198,2024
Mujeres,20,64897,2024
Mujeres,25,95443,2024
Mujeres,30,120784,2024
Mujeres,35,108025,2024
Mujeres,40,83486,2024
Mujeres,45,63979,2024
Mujeres,50,47897,2024
Mujeres,55,34924,2024
Mujeres,60,24875,2024
Mujeres,65,15186,2024
Mujeres,70,8922,2024
Mujeres,75,4523,2024
Mujeres,80,2447,2024
Mujeres,85,2389,2024
