country,n,is_residual
Venezuela,75155,FALSE
Haití,56500,FALSE
España,13390,FALSE
Brasil,13135,FALSE
Estados Unidos de América,10827,FALSE
República Dominicana,10571,FALSE
China,7156,FALSE
Cuba,5503,FALSE
Alemania,5289,FALSE
Otros países,14469,TRUE
