region,region_label,share_2017,share_2024,change_pp,region_plot
15,Arica y Parinacota,0.005679276739363216,0.14796642256377546,14.228714582441224,"Arica y
Parinacota"
1,Tarapacá,0,0.22967447796952997,22.967447796952996,Tarapacá
2,Antofagasta,0,0.19515718836164025,19.515718836164027,Antofagasta
3,Atacama,0,0.0841199278026606,8.41199278026606,Atacama
4,Coquimbo,0,0.05352374457294348,5.352374457294348,Coquimbo
5,Valparaíso,0,0.053086596208017395,5.308659620801739,Valparaíso
13,Metropolitana,0.0319650517228889,0.1303700534851848,9.840500176229588,Metropolitana
6,O'Higgins,0,0.049909443411248464,4.990944341124846,O'Higgins
7,Maule,0.003010340902054367,0.03771032797629224,3.4699987074237875,Maule
16,Ñuble,0,0.02134342138909873,2.134342138909873,Ñuble
8,Biobío,0.004190006085401963,0.029095649942128588,2.4905643856726627,Biobío
9,La Araucanía,0.004394831115660185,0.02085958059149485,1.6464749475834664,La Araucanía
14,Los Ríos,0.004831161522718405,0.018853426411872536,1.4022264889154132,Los Ríos
10,Los Lagos,0.004784942135297346,0.03963342034676575,3.4848478211468406,Los Lagos
11,Aysén,0.0064428285299892455,0.039019306169040646,3.25764776390514,Aysén
12,Magallanes,0.023242920504947116,0.06603337396494473,4.279045345999761,Magallanes
