year,migrant_status,promedio_escolaridad,prop_13mas
2017,Nacidos en Chile,12.47293916364302,0.38792500257623663
2017,Nacidos fuera de Chile,13.748533524094427,0.6045457501463224
2024,Nacidos en Chile,13.539530344379642,0.5260959717032523
2024,Nacidos fuera de Chile,13.275747098442896,0.46647615421511457
