ano,actividad_grp,total,share
2020,Estudiante,22119,0.11139593678548766
2020,No informa,6829,0.03439228049677179
2020,Otras actividades,20270,0.10208398384383718
2020,Trabajador por cuenta propia,1334,0.006718304610146957
2021,Empleado,52765,0.5338047689864134
2021,Empresario/a o patrón/a,172,0.0017400629255313767
2021,Estudiante,8977,0.09081712140985564
2021,No informa,22220,0.22479185003085578
2021,Otras actividades,13287,0.13441986099729886
2021,Trabajador por cuenta propia,1426,0.01442633565004502
2022,Empleado,41129,0.16280266475610675
2022,Empresario/a o patrón/a,252,9.975022859427386e-4
2022,Estudiante,14950,0.059177218947793424
2022,No informa,180847,0.7158543488328828
2022,Otras actividades,14543,0.057566173589147805
2022,Trabajador por cuenta propia,910,0.003602091588126556
2023,Empleado,28889,0.3198728879243528
2023,Empresario/a o patrón/a,224,0.0024802356223841263
2023,Estudiante,23589,0.26118874150187127
2023,No informa,22928,0.25386983191974666
2023,Otras actividades,13355,0.14787297650419648
2023,Trabajador por cuenta propia,1329,0.01471532652744868
2024,Empleado,48072,0.33014669523652546
2024,Empresario/a o patrón/a,221,0.0015177737486951266
2024,Estudiante,41599,0.28569172023515194
2024,No informa,33031,0.22684879951651007
2024,Otras actividades,18663,0.1281729025877699
2024,Trabajador por cuenta propia,4022,0.02762210867534751
2025,Empleado,125120,0.517942965008217
2025,Empresario/a o patrón/a,624,0.00258309151346809
2025,Estudiante,43138,0.17857275914741422
2025,No informa,32449,0.1343248982700738
2025,Otras actividades,29705,0.1229659189223872
2025,Trabajador por cuenta propia,10535,0.04361036713843963
