ano,total
2000,11679
2001,8891
2002,11507
2003,12080
2004,13917
2005,13354
2006,13281
2007,16715
2008,23241
2009,43514
2010,20669
2011,24825
2012,28340
2013,34065
2014,48548
2015,50705
2016,79260
2017,111695
2018,126285
2019,149888
2020,57700
2021,52049
2022,89350
2023,197016
2024,122983
2025,91656
