ano,total
2000,19640
2001,27668
2002,27497
2003,33545
2004,34636
2005,43101
2006,51995
2007,89702
2008,70588
2009,60430
2010,70201
2011,81557
2012,107354
2013,135454
2014,139848
2015,173560
2016,179805
2017,263021
2018,438345
2019,328310
2020,198562
2021,98847
2022,252631
2023,90314
2024,145608
2025,241571
