ano,total
2000,18745
2001,8230
2002,11054
2003,8526
2004,13146
2005,12032
2006,11756
2007,14781
2008,15866
2009,43006
2010,17088
2011,18811
2012,27315
2013,25987
2014,36015
2015,48853
2016,53578
2017,87747
2018,93027
2019,88762
2020,74343
2021,21416
2022,93811
2023,114463
2024,133676
2025,66829
